,company,title,date,salary,workingform,target,position,experience,sex,city
1592,Công Ty Tài Chính TNHH HD SAISON,,14/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1593,QUẢN TRỊ HỆ THỐNG,Công Ty Tài Chính TNHH HD SAISON,14/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1594,RUBY ON RAILS,ReactPlus JSC,14/05/2021,Tới 50 triệu,Toàn thời gian,1 người,Trưởng nhóm,5 năm,Không yêu cầu,Hà Nội
1595,TESTER,"IT Solution & Resources,. JSC (ITSOL)",01/06/2021,Tới 20 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1596,NHÂN VIÊN IT,CÔNG TY SX HÀNG TIÊU DÙNG BÌNH TIÊN - CHI NHÁNH BITI'S MIỀN BẮC,09/06/2021,7-10 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Nam,Hà Nội
1597,NHÂN VIÊN TƯ VẤN TUYỂN SINH,Công ty TNHH phần mềm Kaopiz,14/05/2021,Tới 10 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1598,TESTER,CÔNG TY CP TẬP ĐOÀN SUNHOUSE,14/05/2021,8-10 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
1599,NHÂN VIÊN KẾ TOÁN,FPT Software,14/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1600,PROJECT MANAGER,FPT Software,14/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Đà Nẵng
1601,FPT Software,,14/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,3 năm,Không yêu cầu,Đà Nẵng
1602,JAVA,Công ty TNHH Mintpot Vina,30/06/2021,Tới 60 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1603,QUẢN LÝ CHẤT LƯỢNG,CÔNG TY TNHH DỊCH VỤ ĐA PHƯƠNG TIỆN VÀ CÔNG NGHỆ BEETECH,30/05/2021,"15-30 triệu
",Toàn thời gian,5 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1604,IOS DEVELOPER,CÔNG TY CỔ PHẦN CÔNG NGHỆ TECHLAB,16/06/2021,3-5 triệu,Thực tập,2 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
1605,DEVELOPER,CÔNG TY CỔ PHẦN CÔNG NGHỆ TECHLAB,16/06/2021,Tới 25 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
1606,BACKEND DEVELOPER,CÔNG TY CỔ PHẦN CÔNG NGHỆ TECHLAB,16/06/2021,Tới 20 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1607,KỸ SƯ CẦU NỐI,Công ty CP MindBank Group,13/06/2021,23-46 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1608,LẬP TRÌNH VIÊN,Công ty CP MindBank Group,13/06/2021,Tới 35 triệu,Toàn thời gian,3 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
1609,ANDROID DEVELOPER,Công ty TNHH Đầu tư và Phát triển Công nghệ Tương Lai (NEXTTECH GROUP),14/05/2021,12-20 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1610,JAVA,Công ty cổ phần Jellyfish Education,15/05/2021,Tới 45 triệu,Toàn thời gian,Không giới hạn,Nhân viên,5 năm,Không yêu cầu,Hà Nội
1611,"HERAMO CO., LTD",,14/05/2021,2-5 triệu,Bán thời gian,2 người,Nhân viên,Không yêu cầu,Nam,Hồ Chí Minh
1612,TESTER,Công ty TNHH Đầu tư và Phát triển Công nghệ Tương Lai (NEXTTECH GROUP),14/05/2021,Tới 23 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1613,BACKEND DEVELOPER,CÔNG TY TNHH CÔNG NGHỆ GIA ĐÌNH,14/05/2021,Tới 50 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1614,CÔNG TY TNHH CÔNG NGHỆ GIA ĐÌNH,,14/05/2021,Tới 60 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1615,CHUYÊN VIÊN KINH DOANH,Công ty cổ phần truyền thông Việt Nam (VCcorp),14/05/2021,10-18 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1616,IT SUPPORT,Dezan Shira & Associates,14/05/2021,13-20 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1617,NHÂN VIÊN KINH DOANH,Công ty cổ phần truyền thông Việt Nam (VCcorp),14/05/2021,8-12 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1618,LẬP TRÌNH VIÊN,CÔNG TY TNHH TRUYỀN THÔNG ĐA PHƯƠNG TIỆN HAPO DIGITAL,15/05/2021,12-15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1619,DIGITAL MARKETING,Công ty TNHH Đầu tư CBest (CBest Land),11/07/2021,12-20 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1620,KẾ TOÁN TỔNG HỢP,Công ty cổ phần phát triển Phần mềm và Công nghệ Bitware,14/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1621,LẬP TRÌNH VIÊN,Công ty cố phần Vân Thanh,14/05/2021,Tới 20 triệu,Toàn thời gian,4 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hoàng Mai
1622,Công ty TNHH Phát triển Hạ tầng công nghệ BSI,,31/05/2021,Trên 15 triệu,Toàn thời gian,1 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
1623,NHÂN VIÊN KINH DOANH,CÔNG TY TNHH MTV ĐẦU TƯ THƯƠNG MẠI HỒNG QUANG,13/06/2021,Trên 8 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Nam,Hồ Chí Minh
1624,DEVELOPER,Công ty TNHH Giải pháp Công Nghệ thông tin và truyền thông Qsoft,09/07/2021,Tới 25 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Nam,Hà Nội
1625,AI ENGINEER,Rikai Technology,31/05/2021,25-35 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1626,WEB DEVELOPER,CÔNG TY TNHH SOFT WORLD VIỆT NAM,14/05/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1627,DEVOPS ENGINEER,SVTECH,26/06/2021,10-20 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1628,SVTECH,14/05/2021,9-15 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội,
1629,IT HELPDESK,SVTECH,14/05/2021,8-15 triệu,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Nam,Hà Nội
1630,SOFTWARE ENGINEER,Scalable Press,14/05/2021,Trên 45 triệu,Toàn thời gian,2 người,Nhân viên,4 năm,Không yêu cầu,Hồ Chí Minh
1631,NHÂN VIÊN KINH DOANH,Công ty Cổ phần MISA,14/05/2021,Tới 20 triệu,Toàn thời gian,4 người,Nhân viên,Không yêu cầu,Không yêu cầu,Đà Nẵng
1632,TEST ENGINEER,FPT Software,14/05/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
1633,Công Ty cổ phần IIG Việt Nam,,14/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1634,Công Ty cổ phần IIG Việt Nam,,14/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1635,DIGITAL MARKETING,FPT Software,14/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1636,QUẢN TRỊ HỆ THỐNG,CÔNG TY CỔ PHẦN CHỨNG KHOÁN STANLEY BROTHERS,13/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1637,NHÂN VIÊN KINH DOANH,Công ty TNHH Trái Tim Xanh,12/05/2021,5-10 triệu,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Nam Định
1638,Công ty Cổ phần Phúc Thành Việt Nam,,03/06/2021,10-15 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1639,NHÂN VIÊN KINH DOANH,Công Ty Cổ Phần Công Nghệ T&G,31/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Nữ,Hồ Chí Minh
1640,FRONTEND DEVELOPER,Công Ty TNHH Thương Mại và Dịch Vụ Synova,13/05/2021,Tới 25 triệu,Remote - Làm việc từ xa,1 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1641,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ VI TÍNH TRẦN CHÍ CÔNG,,16/06/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Nam,Bình Dương
1642,ATALINK TECHNOLOGY JOINT STOCK COMPANY,,15/05/2021,Trên 6 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1643,NHÂN VIÊN MARKETING,CÔNG TY CỔ PHẦN CÔNG NGHỆ GIÁO DỤC NOVA,17/06/2021,7-9 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1644,NHÂN VIÊN MARKETING,Công Ty Cp Thương Mại Dịch Vụ Quảng Cáo Diệu An,11/05/2021,Tới 15 triệu,Remote - Làm việc từ xa,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Toàn Quốc
1645,THỰC TẬP SINH,Công ty CP Khoa học & công nghệ Bảo Tín,13/05/2021,Trên 2 triệu,Toàn thời gian,6 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
1646,LẬP TRÌNH VIÊN PHP,Công Ty Cổ Phần Công Nghệ Tài Chính Netfin,31/05/2021,11-15 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1647,NHÂN VIÊN KINH DOANH,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ ABAHA VIỆT NAM,13/05/2021,10-20 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1648,LẬP TRÌNH VIÊN JAVA,CÔNG TY CỔ PHẦN CÔNG NGHỆ INTLABS VIỆT NAM,17/06/2021,10-15 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1649,JAVA,Công ty Cổ phần Đầu tư Công nghệ E-Spot,13/05/2021,Trên 15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1650,CÔNG TY TNHH WEEGOON GLOBAL,,13/05/2021,11-23 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1651,THỰC TẬP SINH,Công ty TNHH Beetsoft,26/05/2021,Thoả thuận,Thực tập,3 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
1652,DIGITAL MARKETING,Công ty TNHH Link TeQ,12/07/2021,Tới 10 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Thừa Thiên Huế
1653,UNITY DEVELOPER,CÔNG TY TNHH WEEGOON GLOBAL,13/05/2021,11-34 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1654,LẬP TRÌNH VIÊN,Công ty Cổ phần VTI,13/06/2021,Tới 15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Nam,Hà Nội
1655,NHÂN VIÊN IT,Công Ty Cổ Phần Kiến Trúc Kisato,13/05/2021,12-15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1656,Công ty CP Khoa học & công nghệ Bảo Tín,,13/05/2021,8-30 triệu,Toàn thời gian,6 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1657,THỰC TẬP SINH IT,Công ty TNHH WDW,13/05/2021,Thoả thuận,Toàn thời gian,2 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Vĩnh Phúc
1658,GAME ARTIST,Công ty Cổ Phần OneSoft - Falcon Game Studio,13/05/2021,Tới 25 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1659,NHÂN VIÊN MARKETING,Công ty CP ĐT và XD Phong Sơn,13/05/2021,6-15 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Nữ,Hà Nội
1660,GAME DESIGNER,"REDANTZ CO .,LTD",13/05/2021,10-23 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1661,GAME DEVELOPER,"REDANTZ CO .,LTD",13/05/2021,10-30 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1662,DEVELOPER,Splus Software,13/05/2021,10-14 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1663,JAVA,Splus Software,13/05/2021,12-16 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1664,LẬP TRÌNH VIÊN PHP,Công ty Cổ phần công nghệ và thương mại PAL Việt Nam,13/05/2021,Tới 30 triệu,Toàn thời gian,5 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1665,MARKETING ONLINE,CÔNG TY CỔ PHẦN YEOSIM- VTVCab,13/05/2021,Trên 10 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1666,Công Ty TNHH Nội Thất BEMOS,,30/06/2021,6-8 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
1667,Công Ty TNHH Nội Thất BEMOS,,30/06/2021,8-15 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1668,LẬP TRÌNH VIÊN PHP,CÔNG TY CỔ PHẦN CÔNG NGHỆ GIÁO DỤC NOVA,17/06/2021,15-20 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1669,NHÂN VIÊN MARKETING,Văn phòng Nhà đất Thành Đạt,13/05/2021,7-12 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hải Phòng
1670,Công Ty TNHH XLV Việt Nam,,"8/05/2021
",Tới 15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1671,LẬP TRÌNH VIÊN,Công ty Cổ phần dịch vụ kỹ thuật Bảo An,13/06/2021, Tới 30 triệu,Toàn thời gian,5 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hải Phòng
1672,NODEJS,VC Corp,12/07/2021,12-25 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1673,NHÂN VIÊN KIỂM THỬ PHẦN MỀM,Công ty Cổ phần Đầu tư Phát triển Công nghệ Điện tử Viễn thông,16/06/2021,10-18 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1674,PROJECT MANAGER,Công ty CP sáng tạo trẻ Việt Nam Miichisoft,13/05/2021,Tới 30 triệu,Toàn thời gian,2 người,Quản lý / Giám sát,2 năm,Không yêu cầu,Hà Nội
1675,PHP DEVELOPER,Công ty CP sáng tạo trẻ Việt Nam Miichisoft,13/05/2021,Tới 30 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1676,DEVELOPER,Công ty CP sáng tạo trẻ Việt Nam Miichisoft,13/05/2021,Tới 35 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1677,NHÂN VIÊN KINH DOANH,CÔNG TY CỔ PHẨN MOBELCO,"0/06/2021
",7-10 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1678,LẬP TRÌNH VIÊN,Trung câm cung ứng và tư vấn học liệu,04/07/2021,79-96 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1679,Trung câm cung ứng và tư vấn học liệu,,04/07/2021,78-96 triệu,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1680,LẬP TRÌNH VIÊN,Trung câm cung ứng và tư vấn học liệu,04/07/2021,61-79 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1681,CONTENT MARKETING,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,16/05/2021,5-8 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
1682,Công ty CP Tập đoàn Vsetgroup,,13/05/2021,Trên 12 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1683,NHÂN VIÊN SEO,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,13/06/2021,7-9 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1684,"Geniee International Pte.,Ltd",,12/07/2021,Tới 18 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1685,NHÂN VIÊN KIỂM THỬ PHẦN MỀM,CÔNG TY TNHH HAPOSOFT,13/05/2021,Tới 25 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1686,IOS,Công ty TNHH Công nghệ EUP,03/06/2021,10-15 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
1687,SOFTWARE DEVELOPER,CÔNG TY TNHH PHẦN MỀM FPT HỒ CHÍ MINH,31/05/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1688,PHÂN TÍCH NGHIỆP VỤ,Công ty cổ phần Grooo International,13/06/2021,12-25 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1689,Vinh Audio 77,,31/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1690,CHUYÊN VIÊN IT,Công ty Cổ phần Tập đoàn Đầu Tư Thăng Long,13/06/2021,12-18 triệu,Toàn thời gian,1 người,Nhân viên,3 năm,Nam,Hà Nội
1691,ANDROID,CÔNG TY TNHH CÔNG NGHỆ PADITECH VIỆT NAM,13/06/2021,20-25 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1692,IOS,CÔNG TY TNHH CÔNG NGHỆ PADITECH VIỆT NAM,"3/06/2021
",15-25 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1693,LẬP TRÌNH VIÊN MOBILE,Công ty Cổ phần Công nghệ thông tin Đông Nam Á,13/05/2021,Tới 25 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1694,NHÂN VIÊN MARKETING,Công ty CP ĐT và XD Phong Sơn,13/05/2021,6-15 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1695,REACT NATIVE,CÔNG TY TNHH JOURNEY HORIZON VIỆT NAM,13/06/2021,Tới 20 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1696,BACKEND DEVELOPER,Công ty cổ phần công nghệ Gapo,31/05/2021,Tới 50 triệu,Toàn thời gian,3 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
1697,NHÂN VIÊN KINH DOANH,Công ty CP Cơ Điện Hợp Nhất,"3/06/2021
",Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1698,REACTJS,CÔNG TY TNHH JOURNEY HORIZON VIỆT NAM,13/05/2021,Tới 20 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1699,DEVELOPER,Công ty TNHH Phát triển giáo dục và đào tạo Việt Nam,13/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hải Phòng
1700,NHÂN VIÊN MARKETING,Công ty cổ phần đầu tư và xây dựng Phong Sơn,13/05/2021,6-15 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Nữ,Hà Nội
1701,CÔNG TY NGÔI SAO THỜI TRANG ( LIME ORANGE ),,31/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
1702,CHUYÊN VIÊN KINH DOANH,Công ty CP công nghệ Vimo,"3/05/2021
",Trên 8 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1703,PHP DEVELOPER,Công ty Cổ phần Đầu tư Phát triển Công nghệ Điện tử Viễn thông,17/06/2021,15-30 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1704,ASP.NET,Công ty TNHH Đào tạo Tư vấn Thăng Long,13/05/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Nam,Hà Nội
1705,Tek experts Vietnam,,21/07/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,6 năm,Không yêu cầu,Hà Nội
1706,Tek experts Vietnam,,21/07/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1707,Tek experts Vietnam,,21/07/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,6 năm,Không yêu cầu,Hà Nội
1708,DEVELOPER,Công ty TNHH Cốc Cốc,29/05/2021,5-10 triệu,Toàn thời gian,1 người,Thực tập sinh,Không yêu cầu,Không yêu cầu,Hà Nội
1709,LẬP TRÌNH VIÊN JAVASCRIPT,CÔNG TY CỔ PHẨN MOBELCO,30/06/2021,7-15 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1710,DEVELOPER,3S Intersoft JSC,18/06/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1711,BUSINESS ANALYST,Công ty TNHH Tiến Bộ Sài Gòn,13/05/2021,Trên 16 triệu,Toàn thời gian,Không giới hạn,Nhân viên,3 năm,Không yêu cầu,Hồ Chí Minh
1712,CHUYÊN VIÊN KINH DOANH,Chi Nhánh Gò Vấp - Công Ty Cổ Phần Ôtô Trường Hải,03/06/2021,7-25 triệu,Toàn thời gian,7 người,Nhân viên,1 năm,Nam,Hồ Chí Minh
1713,3S Intersoft JSC,,18/06/2021,Trên 15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Thừa Thiên Huế
1714,PYTHON,Công ty Cổ Phần Rikkeisoft,13/05/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1715,JAVASCRIPT DEVELOPER,Công ty TNHH Pentalog Việt Nam,13/05/2021,18-30 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1716,MOBILE DEVELOPER,Công ty TNHH Pentalog Việt Nam,13/05/2021,15-30 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1717,JAVA DEVELOPER,Công ty TNHH Pentalog Việt Nam,13/05/2021,18-30 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1718,CÔNG TY CỔ PHẦN VNP GROUP,,05/06/2021,15-18 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1719,CÔNG TY CỔ PHẦN CÔNG NGHỆ SOTATEK,,15/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Nữ,Hà Nội
1720,Công ty CP Hệ Thống Thông Tin FPT,,31/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
1721,LẬP TRÌNH VIÊN PHP,Công ty khởi nghiệp công nghệ Nội Dung Số,09/06/2021,Tới 25 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1722,NHÂN VIÊN KINH DOANH,CÔNG TY CỔ PHẦN CÔNG NGHỆ MIDEAS,"0/06/2021
",Thoả thuận,Toàn thời gian,3 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
1723,TRƯỞNG PHÒNG HÀNH CHÍNH NHÂN SỰ,CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH PHẦN MỀM HMS (VINHMS),12/05/2021,40-60 triệu,Toàn thời gian,1 người,Trưởng/Phó phòng,3 năm,Không yêu cầu,Hồ Chí Minh
1724,IOS,AriaDirect Corporation,12/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1725,Công ty TNHH WAV,,13/06/2021,8-12 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Nam,Hồ Chí Minh
1726,Công ty TNHH WAV,,12/05/2021,10-15 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
1727,Công ty TNHH WAV,,12/05/2021,8-20 triệu,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1728,DATA SCIENTIST,Công ty TNHH WAV,12/05/2021,10-30 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
1729,FPT Software,,15/05/2021,5-8 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1730,FPT Software,,12/05/2021,5-8 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
1731,FPT Software,,12/05/2021,Thoả thuận,Toàn thời gian,9 người,Nhân viên,1 năm,Không yêu cầu,Đà Nẵng
1732,TESTER,FPT Software,12/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1733,NHÂN VIÊN KỸ THUẬT,Công ty TNHH Hạ tầng viễn thông miền Bắc,11/07/2021,8-12 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Nam,Hà Nội
1734,FULLSTACK DEVELOPER,FPT Software,31/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Hà Nội
1735,FPT Software,,31/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,5 năm,Không yêu cầu,Hà Nội
